site	construct	purpose	current_policy	target_schedule	testclock_plan	notes
task/executor.ts:294	withAbortTimeout	MCP tool-call wall-clock timeout	setTimeout(timeoutMs) + clearTimeout on abort/resolve	Effect.timeout(toolCallEffect, timeoutMs)	TestClock.advance(timeoutMs); expect timeout failure	also clears on abort signal
task/executor.ts:301	setTimeout	MCP tool call timeout timer	timeoutMs fixed	Clock.sleep(timeoutMs) raced with tool-call effect	TestClock.advance(timeoutMs); expect timeout failure	
task/executor.ts:310	clearTimeout	cancel tool-call timeout on abort	clears timeoutId	Effect.timeout cancellation via interruption	TestClock.advance before timeout; interrupt; no timeout fired	
task/executor.ts:320	clearTimeout	cancel tool-call timeout on settle	clears timeoutId in finally	Effect.timeout cleanup with Scope	TestClock.advance after completion; no timeout fired	
task/executor.ts:920	new Date().toISOString	child lifecycle record timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
task/executor.ts:1064	Date.now	subagent run duration baseline	wall-clock start	Clock.currentTimeMillis at run start	TestClock.set(startMs); run effect	
task/executor.ts:1162	setTimeout	subagent wall-clock runtime limit (I3 hazard)	maxRuntimeMs fixed; currently fires across post-yield teardown	timeout scoped to active turn, disarmed at yieldWritten/before park	TestClock.advance(maxRuntimeMs) during active turn; after yieldWritten advance must not abort	I3: monitor.finish is absent and finalizeRunResult lets runtimeLimitExceeded override yieldCalled; current timer is not disarmed before yielded/parked state
task/executor.ts:1204	Date.now	progress duration snapshot	wall-clock elapsed	Clock.currentTimeMillis difference	TestClock.advance(t); read durationMs	
task/executor.ts:1222	Date.now	progress coalesce baseline	wall-clock last emit	Clock.currentTimeMillis after emit	TestClock.advance(t); lastProgressEmitMs updated	
task/executor.ts:1234	Date.now	progress coalesce elapsed check	wall-clock now	Clock.currentTimeMillis	TestClock.advance(t); elapsed = now - lastProgressEmitMs	
task/executor.ts:1245	setTimeout	progress emission debounce	PROGRESS_COALESCE_MS(150) - elapsed	Clock.sleep(PROGRESS_COALESCE_MS - elapsed) raced with abort	TestClock.advance(PROGRESS_COALESCE_MS); emit fires	
task/executor.ts:1309	Date.now	event-processing tool timestamp	wall-clock now	Clock.currentTimeMillis	TestClock.advance(t); tool endMs recorded	
task/executor.ts:1346	Date.now	recent tool end timestamp	wall-clock endMs	Clock.currentTimeMillis	TestClock.advance(t); endMs recorded	
task/executor.ts:1555	Date.now	auto-retry started timestamp	wall-clock startedAtMs	Clock.currentTimeMillis	TestClock.advance(t); retryState.startedAtMs updated	
task/executor.ts:1637	clearTimeout	cancel runtime limit on finish	clears runtimeTimeoutId only if finish is called	Scope finalizer / interruption (currently unreachable: no monitor.finish call)	TestClock.advance after terminal result; timer must not fire	monitor.finish is defined at executor.ts:1633 but never invoked
task/executor.ts:1641	clearTimeout	cancel progress debounce on finish	clears progressTimeoutId only if finish is called	Scope finalizer / interruption (currently unreachable: no monitor.finish call)	TestClock.advance after terminal result; no deferred emit	monitor.finish is defined at executor.ts:1633 but never invoked
task/executor.ts:1985	Date.now	final result duration	Date.now() - args.startTime	Clock.currentTimeMillis difference	TestClock.advance(t); durationMs = t - start	
task/executor.ts:2064	Date.now	in-process subagent run duration baseline	wall-clock startTime	Clock.currentTimeMillis	TestClock.set(start); run effect	
task/executor.ts:2115	agentIdleTtlMs setting	park TTL before idle child is parked	task.agentIdleTtlMs default 420000 or 0 disabled	Schedule.fromDuration or passed to lifecycle manager	TestClock.advance(idleTtlMs); expect park	delegates to AgentLifecycleManager (out of scope)
task/executor.ts:2507	new Date().toISOString	lifecycle appender record timestamp	wall-clock ISO timestamp	Clock.currentTimeMillis formatted to ISO	TestClock.set(t); updatedAt reflects t	journal timestamp
task/executor.ts:2714	AbortSignal.timeout	bounded cleanup wait for aborted child	5000ms fixed	Effect.timeout(cleanupEffect, 5000)	TestClock.advance(5000); cleanup abandoned	
task/executor.ts:2728	AbortSignal.timeout	bounded cleanup wait for parked worktree child	5000ms fixed	Effect.timeout(cleanupEffect, 5000)	TestClock.advance(5000); cleanup abandoned	
task/executor.ts:2759	Date.now	in-process subagent run duration result	Date.now() - startTime	Clock.currentTimeMillis difference	TestClock.advance(t); durationMs = t - start	
task/index.ts:149	stat.mtime.toISOString	spawn guide cache timestamp	file mtime ISO string	not a scheduler; keep wall-clock file mtime	must stay wall-clock; filesystem metadata	not a timer; journal/metadata only
task/index.ts:408	timeoutSec field	per-spawn timeout parameter	timeoutSec from task params	Effect.timeout(..., timeoutSec * 1000)	TestClock.advance(timeoutSec*1000); expect timeout	drives executor maxRuntimeMs; I3 source value
task/index.ts:431	timeoutSec assignment	propagate per-spawn timeout to spawn object	timeoutSec from item	same as above	same as above	
