site	state_owner	must_serialize	backpressure_point	race_workaround	target_primitive	notes
executor.ts:1061	createSubagentRunMonitor closure (resolved/abortSent/runtimeLimitExceeded/budgetLimitExceeded/yieldCalled/budgetSteerSent/activeSession/outputChunks/finalOutputChunks/toolCallEvents/accumulatedUsage/progress)	requestAbort vs processEvent vs finish; setActiveSession vs takeActiveSession	outputChunks/finalOutputChunks/toolCallEvents/accumulatedUsage grow with event volume; progress object unbounded	abortSent and resolved flags guard double-abort and post-finish mutation	Ref + PubSub	Central in-process child state owner. All flags should become Ref, event stream should become PubSub, timeouts should become Clock/Schedule.
executor.ts:1160	runtimeTimeoutId wall-clock timer in monitor	timeout firing vs yield completion; timeout vs finish cleanup	-	resolved flag guard; setTimeout/clearTimeout	Fiber	Wall-clock timeout can override a successful yield in finalizeRunResult; monitor.finish is never called, so timer/listener teardown is unreachable
executor.ts:1201	progressTimeoutId coalescing timer in monitor	scheduleProgress vs emitProgressNow	-	debounce via setTimeout/clearTimeout and lastProgressEmitMs	PubSub + Clock	Progress coalescing should be a PubSub with Clock-scheduled emission.
executor.ts:1694	awaitAbortable Promise.race in driveSessionToYield	abort vs prompt completion	-	Promise.race([promise, abortPromise]) with listener add/remove	Fiber	Abortable await pattern should be Fiber interruption with uninterruptibleMask for cleanup.
executor.ts:1718	MAX_YIELD_RETRIES reminder loop in driveSessionToYield	reminder prompts vs abort; reminder vs yield	bounded to 3	retryCount counter with try/catch swallow	Schedule	Hand-rolled retry should become Schedule.exponential with jitter under TestClock.
executor.ts:206	floating promise IrcBus.global().send(...)	-	-	fire-and-forget with .then failure logging	Fiber	Unawaited send should be Fiber.fork or a bounded Queue.
executor.ts:1141	floating promise void activeSession.abort()	abort vs completion	-	fire-and-forget	Fiber	Abort should be Fiber interruption scoped to the child session.
executor.ts:1465	floating promise void steerSession.sendUserMessage(...)	-	-	fire-and-forget with .catch	Fiber	Budget steer should be a Fiber or Queue job.
executor.ts:2440	floating promise void sessionPromise.then(dispose)	creation vs abort; late dispose	-	fire-and-forget	Scope	Session startup cancellation should use Scope.fork / Effect.acquireRelease.
executor.ts:2553	floating void session.abort() in abort listener	abort vs setup	-	fire-and-forget	Fiber	Should be Fiber interruption propagated from parent abort signal.
executor.ts:2561	floating void session.abort() on already-aborted signal	abort registration vs dispatch	-	manual mirror of already-fired abort event	Fiber	Race between listener registration and dispatch; Fiber interruption handles this natively.
executor.ts:2620	pendingExtensionMessages array in extensionRunner	sendMessage/sendUserMessage ordering	unbounded array of send promises	drain with Promise.all(pendingExtensionMessages.splice(0))	Queue	Extension messages should be a bounded Queue consumed by a single worker Fiber.
executor.ts:817	createReAdoptedSessionReviver closure state	revive vs concurrent teardown	-	registerSubscription callback captures unsubscribe	Scope + Fiber	Reviver should be a Scope-managed Fiber.
executor.ts:927	createParkedChildSessionReviver closure state	park vs revive	-	registerSubscription callback captures unsubscribe	Scope + Fiber	Parked child reviver should be a Scope-managed Fiber.
executor.ts:2047	runSubprocess closure (unsubscribe/sessionStatusSubscription/reviveSession/appendLifecycleState/session)	setup vs abort vs park vs finalization	-	multiple flags and optional closures	Fiber	Entire runSubprocess body is a state machine; should be one Fiber with interruption regions.
