site	mechanism	cleanup_guarantee	double_fire_hazard	interruptible_region	notes
task/executor.ts:228	abortController	session.agent.abort()	no: single abort on non-error follow-up yield	interruptible	createFollowUpResultRouter aborts session on yield
task/executor.ts:294	timeout	listener/timer cleanup deferred until underlying MCP promise settles; timeout only rejects wrapper	no: timeout can leave underlying operation and cleanup chain live	interruptible	withAbortTimeout timeout callback rejects wrapper while promise finally owns cleanup
task/executor.ts:315	abortSignal	clearTimeout is immediate on abort, but timeout-first cleanup waits for underlying promise settlement	no: settled guard prevents duplicate reject; timeout-first path still defers cleanup	interruptible	abort listener in withAbortTimeout; settled guard suppresses later abort but does not force underlying settlement
task/executor.ts:318	finally	not guaranteed if underlying MCP promise never settles	no: finally runs only after underlying promise settlement	interruptible	withAbortTimeout cleanup is attached to the underlying promise, not the rejected timeout wrapper
task/executor.ts:730	abortSignal	none (delegates to withAbortTimeout)	no: signal forwarded to withAbortTimeout	interruptible	MCP proxy tool execute checks signal then delegates
task/executor.ts:740	abortSignal	callTool with signal	no: signal forwarded to MCP call	interruptible	MCP callTool receives caller signal
task/executor.ts:1100	abortController	listener signal teardown in finish()	no: controller aborted in finish()	interruptible	listenerController owns external signal listener registration
task/executor.ts:1102	abortController	abortSignal listeners fire + session.abort()	no: abortSent guard prevents duplicate abortController.abort()	interruptible	abortController drives monitor.abortSignal
task/executor.ts:1139	abortController	abortSignal listeners fire + active session abort	no: abortController.abort is guarded by abortSent; session abort dispatch is not once-guarded	interruptible	requestAbort aborts controller then activeSession.abort; mirrored session listener can double-fire
task/executor.ts:1146	abortSignal	requestAbort plus session abort listener	no: abortSent guards requestAbort, but AgentSession.abort has no once guard across mirrored paths	interruptible	external signal can invoke requestAbort, which aborts activeSession and then dispatches the session listener
task/executor.ts:1162	timeout	requestAbort	yes: timeout can race with caller signal and budget abort; same abortSent guard as above	interruptible	runtime limit timeout
task/executor.ts:1407	abortController	requestAbort("terminate")	no: handler may call terminate once per tool execution	interruptible	subprocess tool handler shouldTerminate requests abort
task/executor.ts:1460	abortController	requestAbort("budget")	no: budget check requests abort once per threshold	interruptible	soft request budget exceeded requests abort
task/executor.ts:1583	abortController	requestAbort("terminate")	no: event processing failure requests abort once	interruptible	agent event processing failure requests abort
task/executor.ts:1633	finally	clearTimeout + listenerController.abort (unreachable: runSubprocess never calls finish())	yes: later abort can target settled monitor because listener/timers remain armed	interruptible	finish() is defined for monitor teardown but has no executor callsite
task/executor.ts:1704	abortSignal	removeEventListener in finally	no: {once:true}	interruptible	driveSessionToYield awaitAbortable listener
task/executor.ts:1708	finally	removeEventListener	no: symmetric add/remove pair	interruptible	driveSessionToYield awaitAbortable cleanup
task/executor.ts:1789	finally	outcome classification (exitCode/aborted)	no: finally runs once after catch/try	interruptible	driveSessionToYield outer finally; sets final abort flags
task/executor.ts:1870	finally	popLoopPhase	no: breadcrumb cleanup	interruptible	finalizeRunResult popLoopPhase finally
task/executor.ts:2067	abortSignal	none (early return)	no: read-only check	interruptible	runSubprocess pre-flight abort check
task/executor.ts:2232	abortController	session.abort listener removal in finally	no: controller aborted in finally	interruptible	sessionAbortController owns session.abort listener
task/executor.ts:2253	abortSignal	removeEventListener in finally	no: {once:true}	interruptible	runSubagent inner awaitAbortable listener
task/executor.ts:2257	finally	removeEventListener	no: symmetric add/remove pair	interruptible	runSubagent inner awaitAbortable cleanup
task/executor.ts:2435	dispose	session.dispose({scope: "child"})	no: one-shot catch path only	interruptible	abort-raced session startup disposal
task/executor.ts:2550	abortSignal	session.abort()	no: listener is once-gated, but requestAbort already aborts activeSession before this listener fires	interruptible	monitor abortSignal listener can duplicate requestAbort's direct session.abort
task/executor.ts:2560	abortSignal	session.abort()	no: already-aborted mirror has no once guard and can duplicate requestAbort/listener dispatch	interruptible	defensive mirror calls session.abort after setup race; AgentSession.abort is not once-guarded
task/executor.ts:2608	abortController	session.abort({reason: USER_INTERRUPT_LABEL})	no: extension runner abort callback	interruptible	extension runner abort callback delegates to session.abort
task/executor.ts:2656	finally	appendLifecycleState, interrupt message, session.dispose, lifecycle.adopt/park	yes: long finally doing journal write + teardown; if interrupted mid-finally resources leak	uninterruptible	runSubprocess outer finally: lifecycle state write + teardown
task/executor.ts:2714	dispose	session.dispose({scope: "child"})	yes: untilAborted(5s timeout) can abort dispose before it completes; cleanup not guaranteed	uninterruptible	terminal abort dispose bounded by 5s timeout
task/executor.ts:2728	dispose	session.dispose({scope: "child"})	yes: untilAborted(5s timeout) can abort dispose before it completes; cleanup not guaranteed	uninterruptible	isolated run dispose bounded by 5s timeout
task/executor.ts:2739	teardown	lifecycle.adopt	no: normal lifecycle hook after run	interruptible	adopt idle child into lifecycle manager
task/executor.ts:2747	teardown	lifecycle.park	no: normal lifecycle hook after run	interruptible	park idle child after run
task/index.ts:678	timeout	none (timeout causes bypass without releasing semaphore slot)	no: single AbortSignal.timeout	interruptible	acquireReviveAdmissionSlot bounded wait on semaphore
task/index.ts:1209	abortSignal	semaphore.release in finally	no: cancellation firing delegated to AsyncJobManager; this callback handles the running signal	interruptible	background job callback receives runSignal; abort delegated to AsyncJobManager
task/index.ts:1213	abortSignal	semaphore.release in finally	no: pre-check then finally releases	interruptible	background job runSignal.aborted pre-check
task/index.ts:1289	finally	semaphore.release	no: finally runs once	interruptible	background job finally releases semaphore
task/index.ts:1332	finally	semaphore.release	no: finally runs once	interruptible	sync fanout single-spawn finally releases semaphore
task/index.ts:1372	finally	semaphore.release	no: finally runs once	interruptible	sync fanout map item finally releases semaphore
task/index.ts:1378	dispose	progressAggregator.dispose() not reached when mapWithConcurrencyLimit rejects	no: worker rejection exits before flush/dispose; scheduled timer and aggregator state remain live	interruptible	sync fanout needs finally around flush and dispose
task/index.ts:1886	finally	cleanupIsolation	no: finally runs once	uninterruptible	isolated run cleanup of worktree
task/index.ts:2000	finally	fs.rm temp artifacts	no: finally runs once	interruptible	temp artifacts cleanup after merge
task/spawn-worker-client.ts:33	abortSignal	none (early error)	no: read-only check	interruptible	launchSpawnProcess pre-flight abort check
task/spawn-worker-client.ts:342	abortSignal	none (early error)	no: read-only check	interruptible	runRequest pre-flight abort check
task/spawn-worker-client.ts:361	abortSignal	killProcessTree	yes: can race with timeout kill and RSS kill; failAndKill is not idempotent	interruptible	signal listener triggers failAndKill
task/spawn-worker-client.ts:362	timeout	killProcessTree	yes: can race with signal kill and RSS kill; failAndKill stores terminalError but kill is reissued	interruptible	wall-clock timeout triggers failAndKill
task/spawn-worker-client.ts:365	kill	killProcessTree	yes: RSS onExceeded can fire multiple times; each calls failAndKill	interruptible	RSS limit onExceeded triggers failAndKill
task/spawn-worker-client.ts:412	kill	proc.kill()	yes: post-result kill can race with abort/timeout if result arrives while aborting	interruptible	result received kills worker
task/spawn-worker-client.ts:465	finally	clearTimeout, stopRssWatch, removeEventListener	no: finally runs once; kill already issued if fired	interruptible	runRequest cleanup
task/spawn-worker-entry.ts:70	finally	queue drain continues	no: finally runs once; if process is killed mid-drain the queue may be lost	uninterruptible	BoundedJsonlWriter drain finally (queue drain)
task/spawn-worker-entry.ts:180	finally	unsubscribe registry/events, eventBus.clear	no: finally runs once	interruptible	startSpawnWorker cleanup on throw
task/parallel.ts:39	abortController	workerSignal abort	no: internal controller; error path aborts once	interruptible	internal AbortController for fail-fast
task/parallel.ts:40	abortSignal	workerSignal abort	no: composite signal	interruptible	AbortSignal.any merges external and internal abort
task/parallel.ts:60	abortController	abortController.abort()	no: only non-abort errors call abort	interruptible	error aborts remaining workers
task/parallel.ts:117	abortSignal	throw signal.reason	no: pre-check	interruptible	Semaphore acquire pre-check
task/parallel.ts:129	abortSignal	remove from queue + reject	no: {once:true} listener	interruptible	Semaphore queued acquire abort listener
task/parallel.ts:134	finally	removeEventListener	no: symmetric add/remove pair	interruptible	Semaphore acquire cleanup
task/subagent-worker-pool.ts:89	teardown	reject queued jobs, kill workers	no: close() is one-shot	interruptible	close() tears down worker pool
task/subagent-worker-pool.ts:100	kill	SIGKILL	no: close kills each worker once	interruptible	close kills worker
task/subagent-worker-pool.ts:158	kill	SIGKILL	no: send failure kills worker once	interruptible	assign send failure kills worker
task/subagent-worker-pool.ts:172	kill	no: retiring worker remains until onExit; kill may be reissued	yes: duplicate/malformed IPC can issue repeated SIGKILL	interruptible	onMessage checks membership but not worker.retiring
task/subagent-worker-pool.ts:178	kill	no: retiring worker remains until onExit; kill may be reissued	yes: duplicate/late ready IPC can issue repeated SIGKILL	interruptible	onMessage checks membership but not worker.retiring
task/subagent-worker-pool.ts:187	kill	no: retiring worker remains until onExit; kill may be reissued	yes: duplicate/late protocol IPC can issue repeated SIGKILL	interruptible	onMessage checks membership but not worker.retiring
task/subagent-worker-pool.ts:203	kill	no: retiring worker remains until onExit; kill may be reissued	yes: duplicate/late result IPC can issue repeated SIGKILL	interruptible	commitResult mismatch checks membership only upstream; retiring worker is not an idempotence guard
task/subagent-worker-entry.ts:22	kill	process.exit(70)	no: single exit if parent.send absent	uninterruptible	send guard exits worker
task/subagent-worker-entry.ts:32	kill	process.exit(81)	no: test-only crash path	uninterruptible	test crash before result
task/subagent-worker-entry.ts:67	kill	process.exit(0)	no: recycle exit after ack	uninterruptible	recycle after ack
task/subagent-worker-entry.ts:79	kill	process.exit(71)	no: runTurn error exits once	uninterruptible	runTurn error exit
task/subagent-worker-entry.ts:83	kill	process.exit(72)	no: message decode error exits once	uninterruptible	message decode error exit
