site	construct	error_today	expected_or_defect	owner	swallow_hazard	target_tagged_error	notes
task/executor.ts:149	convert	error from session.getLastAssistantMessage()?.content access	DEFECT	executor	yes	SubagentStateAccessError	defensive fallback returns undefined; loses original error
task/executor.ts:188	convert	JSON.stringify error on yield data	DEFECT	executor	no	YieldSerializationError	converts serialization failure into payload string
task/executor.ts:213	catch	IRC follow-up result delivery error	DEFECT	parent monitor	yes	IrcFollowUpDeliveryError	rejected follow-up send only logs; no retry or typed error reaches parent monitor
task/executor.ts:296	reject	ToolAbortError on pre-aborted signal	EXPECTED	executor	no	ToolAbortError	abort is a control-flow signal
task/executor.ts:304	reject	MCP tool call timeout	EXPECTED	executor	no	McpToolTimeoutError	timeout is a typed failure
task/executor.ts:311	reject	ToolAbortError on abort signal	EXPECTED	executor	no	ToolAbortError	abort is a control-flow signal
task/executor.ts:464	convert	JSON.parse error in parseStringifiedJson	EXPECTED	executor	no	StringifiedJsonParseError	falls back to original value
task/executor.ts:473	convert	JSON.stringify error in previewOffendingData	DEFECT	executor	no	SerializationError	falls back to String(value)
task/executor.ts:484	convert	JSON.parse error in tryParseJsonOutput	EXPECTED	executor	no	JsonOutputParseError	non-JSON output is expected fallback
task/executor.ts:604	convert	JSON.stringify error in schema violation payload	DEFECT	executor	no	SerializationError	schema violation payload fallback
task/executor.ts:624	convert	JSON.stringify error on aborted lastYield.error	DEFECT	executor	no	SerializationError	aborted error payload fallback
task/executor.ts:648	convert	JSON.stringify error on completeData	DEFECT	executor	no	SerializationError	yield data serialization fallback
task/executor.ts:679	convert	JSON.stringify error on fallback completion	DEFECT	executor	no	SerializationError	fallback completion serialization fallback
task/executor.ts:732	throw	ToolAbortError on aborted MCP proxy call	EXPECTED	executor	no	ToolAbortError	abort signal before MCP call
task/executor.ts:753	catch	MCP tool call failure	EXPECTED	executor	no	McpToolError	rethrows ToolAbortError; converts other errors into isError tool result
task/executor.ts:755	rethrow	ToolAbortError	EXPECTED	executor	no	ToolAbortError	rethrows abort from MCP tool catch
task/executor.ts:844	throw	model policy cannot revive parked session	EXPECTED	journal recovery	no	ParkedSessionReviveError	re-adoption cannot satisfy current model/auth policy
task/executor.ts:874	catch	createAgentSession failure in re-adopted reviver	EXPECTED	journal recovery	no	ParkedSessionReviveError	closes reopened manager then rethrows
task/executor.ts:876	rethrow	createAgentSession failure	EXPECTED	journal recovery	no	ParkedSessionReviveError	rethrows after cleanup
task/executor.ts:938	throw	model policy cannot revive parked child	EXPECTED	journal recovery	no	ParkedSessionReviveError	re-adoption cannot satisfy current model/auth policy
task/executor.ts:984	catch	createAgentSession failure in parked child reviver	EXPECTED	journal recovery	no	ParkedSessionReviveError	closes reopened manager then rethrows
task/executor.ts:986	rethrow	createAgentSession failure	EXPECTED	journal recovery	no	ParkedSessionReviveError	rethrows after cleanup
task/executor.ts:1141	floating	activeSession.abort() rejection after requestAbort	DEFECT	run monitor	yes	SessionAbortError	void activeSession.abort() has no rejection handler; abort failure can become unhandled
task/executor.ts:1467	catch	budget steer sendUserMessage failure	EXPECTED	run monitor	yes	BudgetSteerError	budget steer failure swallowed by logger
