site	resource	acquire_site	release_sites	current_mechanism	ordering_constraints	leak_history	owning_scope_proposal	notes
task/executor.ts:1100	listenerController AbortController	task/executor.ts:1100	task/executor.ts:1635 (unreachable: no monitor.finish call)	manual	signal listeners removed BEFORE monitor finish	monitor finish never invoked; listener remains armed	child-turn Scope	cancels signal listener registrations only if unreachable monitor.finish runs
task/executor.ts:1102	monitor abortController	task/executor.ts:1102	task/executor.ts:1639 (unreachable: no monitor.finish call)	manual	none	monitor finish never invoked; abort controller remains live	child-turn Scope	drives monitor.abortSignal; terminal teardown is currently omitted
task/executor.ts:1160	runtimeTimeoutId	task/executor.ts:1160	task/executor.ts:1636-1638 (unreachable: no monitor.finish call)	manual	none	monitor finish never invoked; runtime timer can fire after yield/park	child-turn Scope	wall-clock runtime cap has no reachable clear path
task/executor.ts:1201	progressTimeoutId	task/executor.ts:1201	task/executor.ts:1640-1643 (unreachable: no monitor.finish call)	manual	none	monitor finish never invoked; progress timer can remain armed	child-turn Scope	progress coalescing timer has no reachable clear path
task/executor.ts:1146	signal listener on listenerSignal	task/executor.ts:1146-1154	task/executor.ts:1635	manual	none	-	child-turn Scope	passed-through caller abort signal; removed via controller abort
task/executor.ts:2232	sessionAbortController	task/executor.ts:2232	task/executor.ts:2668	manual	session abort listener removed BEFORE controller abort	-	child-turn Scope	gates child AgentSession.abort
task/executor.ts:2267	modelRegistry	task/executor.ts:2267	-	none	none	-	child-turn Scope	created only when parent modelRegistry not supplied; no explicit release
task/executor.ts:2328	child SessionManager	task/executor.ts:2328	task/executor.ts:2440,task/executor.ts:2714,task/executor.ts:2728,task/executor.ts:2747; missing close after setup-abort	manual	journal flush BEFORE session dispose	unresolved leak when inherit/artifact/session setup throws after open	child-turn Scope	SessionManager.open can complete before an AgentSession exists; no session.close is reached on that error path
task/executor.ts:2432	AgentSession	task/executor.ts:2432	task/executor.ts:2440,task/executor.ts:2714,task/executor.ts:2728,task/executor.ts:2747	dispose	journal flush BEFORE session dispose	HR-163 report-on-exit	child-turn Scope	in-process child session; dispose on abort, isolated park, or lifecycle adopt
task/executor.ts:2550	abortSignal listener for session.abort	task/executor.ts:2550-2556	task/executor.ts:2668	manual	session abort triggered BEFORE listener controller abort	-	child-turn Scope	forwards monitor abort to child session
task/executor.ts:2445	sessionStatusSubscription	task/executor.ts:2445	task/executor.ts:2710,task/executor.ts:2725,task/executor.ts:2744	manual	none	-	child-turn Scope	registry status sync from installRegistryStatusSync
task/executor.ts:868	session.subscribe reviver listener	task/executor.ts:868-871	registry/agent-lifecycle.ts:461-468 delegated registerSubscription	manual	registry handoff before lifecycle ownership	-	session Scope	reviver listener acquired before lifecycle manager stores unsubscribe
task/executor.ts:973	session.subscribe reviver listener	task/executor.ts:973-981	registry/agent-lifecycle.ts:461-468 delegated registerSubscription	manual	registry handoff before lifecycle ownership	-	session Scope	parked-child reviver listener released through lifecycle manager handoff
task/executor.ts:2616	extensionRunner error listener	task/executor.ts:2616	-	manual	none	unresolved listener release	child-turn Scope	onError returns an unsubscribe closure but executor drops it
task/executor.ts:2625	monitor.attach subscription	task/executor.ts:2625	task/executor.ts:2669-2675	manual	none	-	child-turn Scope	unsubscribe from AgentSession events
task/executor.ts:2740	lifecycle.adopt delegation	task/executor.ts:2740	task/executor.ts:2747(registry/agent-lifecycle.ts:118,252,323)	dispose	session dispose BEFORE registry detach	-	session Scope	delegates child session lifetime to AgentLifecycleManager (out-of-scope)
task/index.ts:989	AgentOutputManager	task/index.ts:989	-	none	none	-	session Scope	created when session has no agentOutputManager; holds in-memory taken set
task/index.ts:1206	AsyncJobManager job	task/index.ts:1206	-	manual	none	-	session Scope	registered with AsyncJobManager; release delegated to out-of-scope manager
task/index.ts:1212	spawnSemaphore slot (async job)	task/index.ts:1212	task/index.ts:1290	manual	none	-	child-turn Scope	acquired before running child
task/index.ts:1320	spawnSemaphore slot (sync fanout)	task/index.ts:1320	task/index.ts:1333	manual	none	-	child-turn Scope	acquired before running child
task/index.ts:1354	spawnSemaphore slot (worker)	task/index.ts:1354	task/index.ts:1373	manual	none	-	child-turn Scope	per-concurrent-worker slot
task/index.ts:1583	tempArtifactsDir	task/index.ts:1583	task/index.ts:1996-2000 (normal path only)	normal-path rm, not outer finally	none	outer catch at index.ts:2004-2008 can return without removing directory	spawn-attempt Scope	post-mkdir exceptions can strand temporary artifacts; cleanup is not a finally
